name,handedness,height (inches),weight(pounds),avg,avg_group,HR
Steve Dillard,right-handed,73,180,0.243,0.25,13
Win Remmerswaal,right-handed,74,160,0,0,0
Jeff Peterek,right-handed,74,195,0,0,0
George Scott,right-handed,74,200,0.268,0.27,271
Jeff Shaver,right-handed,75,195,0,0,0
Ken Walters,right-handed,73,180,0.231,0.24,11
Gorman Thomas,right-handed,74,210,0.225,0.23,268
Paul Dade,right-handed,73,185,0.27,0.27,10
Darrell Porter,left-handed,72,193,0.247,0.25,188
Tim Johnson,left-handed,73,170,0.223,0.23,0
Fred Stanley,right-handed,70,165,0.216,0.22,10
Larry Bowa,both-handed,70,155,0.26,0.26,15
Tim Corcoran,left-handed,71,175,0.27,0.27,12
Jim Spencer,left-handed,74,195,0.25,0.25,146
Pete LaCock,left-handed,74,200,0.257,0.26,27
Carl Morton,right-handed,72,200,0.156,0.16,7
Gary Gray,right-handed,72,187,0.24,0.24,24
Matty Alou,left-handed,69,160,0.307,0.31,31
Pete Filson,both-handed,74,195,0,0,0
Jim Dwyer,left-handed,70,165,0.26,0.26,77
Dalton Jones,left-handed,73,180,0.235,0.24,41
Rennie Stennett,right-handed,71,160,0.274,0.28,41
Jim Gideon,right-handed,75,190,0,0,0
Jerry May,right-handed,74,190,0.234,0.24,15
Rich McKinney,right-handed,71,185,0.225,0.23,20
Clint Hurdle,left-handed,75,195,0.259,0.26,32
Mike Andrews,right-handed,75,195,0.258,0.26,66
Bobby Clark,right-handed,72,190,0.239,0.24,19
Jeff Twitty,left-handed,74,185,0,0,0
Cliff Johnson,right-handed,76,215,0.258,0.26,196
Steve Cummings,both-handed,74,200,0,0,0
Donn Clendenon,right-handed,76,209,0.274,0.28,159
Charlie James,right-handed,73,195,0.255,0.26,29
Bob Horner,right-handed,73,195,0.277,0.28,218
Tom Veryzer,right-handed,73,175,0.241,0.25,14
Jose Cecena,right-handed,71,180,0,0,0
George Smith,right-handed,70,170,0.205,0.21,9
Jim Essian,right-handed,74,195,0.244,0.25,33
Onix Concepcion,right-handed,66,160,0.239,0.24,3
Boots Day,left-handed,69,160,0.256,0.26,8
Brian Giles,right-handed,73,165,0.228,0.23,10
Garry Maddox,right-handed,75,175,0.285,0.29,117
Alex Trevino,right-handed,70,165,0.249,0.25,23
Jim Price,right-handed,72,192,0.214,0.22,18
Felix Millan,right-handed,71,172,0.279,0.28,22
Steve Garvey,right-handed,70,192,0.294,0.3,272
Don Mincher,left-handed,75,205,0.249,0.25,200
Greg Erardi,right-handed,73,190,0,0,0
Jim Farr,right-handed,73,195,0,0,0
Tony Cloninger,right-handed,72,210,0.192,0.2,11
Jim Gosger,left-handed,71,185,0.226,0.23,30
Chuck Harrison,right-handed,70,185,0.238,0.24,17
Mike Ivie,right-handed,75,205,0.269,0.27,81
Frank Dimichele,right-handed,75,205,0,0,0
Bob Veale,both-handed,78,212,0.114,0.12,0
Marvell Wynne,left-handed,71,175,0.247,0.25,40
Dusty Baker,right-handed,74,183,0.278,0.28,242
Tucker Ashford,right-handed,73,195,0.218,0.22,6
Ned Yost,right-handed,73,190,0.212,0.22,16
Bob Stinson,both-handed,71,180,0.25,0.25,33
Mike Warren,right-handed,73,175,0,0,0
Gaylord Perry,right-handed,76,205,0.131,0.14,6
Dave Marshall,left-handed,73,182,0.246,0.25,16
Mickey Hatcher,right-handed,74,200,0.28,0.28,38
Roger Repoz,left-handed,75,190,0.224,0.23,82
Bill Fulton,right-handed,75,195,0,0,0
John Orsino,right-handed,75,215,0.249,0.25,40
Larry Anderson,right-handed,75,190,0,0,0
Johnny Briggs,left-handed,73,190,0.253,0.26,139
Craig Mitchell,right-handed,75,180,0,0,0
Dave Hostetler,right-handed,76,215,0.229,0.23,37
Bob Jones,left-handed,74,195,0.221,0.23,20
Keith Hernandez,left-handed,72,180,0.296,0.3,162
Alfredo Martinez,right-handed,75,185,0,0,0
Dean Chance,right-handed,75,200,0.066,0.07,0
Willie Upshaw,left-handed,72,185,0.262,0.27,123
Dick Green,right-handed,70,180,0.24,0.24,80
Dane Iorg,left-handed,72,180,0.276,0.28,14
Richie Hebner,left-handed,73,195,0.276,0.28,203
Fran Healy,right-handed,77,220,0.25,0.25,20
Doc Edwards,right-handed,74,215,0.238,0.24,15
Sandy Alomar,both-handed,69,140,0.245,0.25,13
Joe Strain,right-handed,70,169,0.25,0.25,1
Gene Richards,left-handed,72,175,0.29,0.29,26
Buddy Bell,right-handed,73,180,0.279,0.28,201
Al Woods,left-handed,75,190,0.271,0.28,35
Rudy Law,left-handed,73,165,0.271,0.28,18
Joel Davis,left-handed,77,205,0,0,0
Jody Davis,right-handed,76,192,0.245,0.25,127
Mike Edwards,right-handed,70,154,0.25,0.25,2
Bill Mooneyham,right-handed,72,175,0,0,0
John Hobbs,right-handed,75,190,0,0,0
Deron Johnson,right-handed,74,200,0.244,0.25,245
John Denny,right-handed,75,185,0.17,0.17,0
Don Wert,right-handed,70,162,0.242,0.25,77
Mike Fiore,left-handed,72,175,0.227,0.23,13
Miguel Dilone,both-handed,72,160,0.265,0.27,6
Greg Luzinski,right-handed,73,220,0.276,0.28,307
Bobby Tolan,left-handed,71,170,0.265,0.27,86
Karl Best,right-handed,76,190,0,0,0
Steve Barr,left-handed,76,200,0,0,0
Ron Woods,right-handed,70,168,0.233,0.24,26
Tony Horton,right-handed,75,210,0.268,0.27,76
Randy Hundley,right-handed,71,170,0.236,0.24,82
Jose Tartabull,left-handed,71,165,0.261,0.27,2
Ben Oglivie,left-handed,74,160,0.273,0.28,235
Luis Sanchez,right-handed,74,170,0,0,0
Bob Johnson,right-handed,70,175,0.272,0.28,44
Don Buford,both-handed,67,160,0.264,0.27,93
Duane Kuiper,left-handed,72,175,0.271,0.28,1
Brant Alyea,right-handed,75,215,0.247,0.25,38
Jerry Narron,left-handed,75,205,0.211,0.22,21
Lou Johnson,right-handed,71,170,0.258,0.26,48
Ken Retzer,left-handed,72,185,0.264,0.27,14
Mike Brown,right-handed,74,195,0.265,0.27,23
Mike Brown,right-handed,74,195,0,0,0
Greg Walker,left-handed,75,205,0.26,0.26,113
Terry Harper,right-handed,76,195,0.253,0.26,36
Jerry Royster,right-handed,72,165,0.249,0.25,40
Steve Davis,left-handed,73,195,0,0,0
Jeff Rineer,left-handed,76,205,0,0,0
Barry Bonnell,right-handed,75,190,0.272,0.28,56
Tom Seaver,right-handed,73,195,0.154,0.16,12
Jerry Martin,right-handed,73,195,0.251,0.26,85
Bill Stein,right-handed,70,170,0.267,0.27,44
Joel Youngblood,right-handed,72,180,0.265,0.27,80
Reggie Jackson,left-handed,72,195,0.262,0.27,563
Sonny Jackson,left-handed,69,150,0.251,0.26,7
Mark Mercer,left-handed,77,220,0,0,0
Rodney Scott,both-handed,72,160,0.236,0.24,3
Rich Coggins,left-handed,68,170,0.265,0.27,12
Phil Gagliano,right-handed,73,180,0.238,0.24,14
Jerry McNertney,right-handed,72,180,0.237,0.24,27
Mitchell Page,left-handed,74,205,0.266,0.27,72
Kiko Garcia,right-handed,71,180,0.239,0.24,12
Larry Milbourne,both-handed,72,161,0.254,0.26,11
Bill Sudakis,both-handed,73,190,0.234,0.24,59
John Caneira,right-handed,75,180,0,0,0
Domingo Ramos,right-handed,70,154,0.24,0.24,8
Ron Oester,both-handed,74,185,0.265,0.27,42
Glenn Adams,left-handed,73,180,0.28,0.28,34
Clint Zavaras,right-handed,73,175,0,0,0
Joe Morgan,left-handed,67,160,0.271,0.28,268
R.J. Reynolds,both-handed,72,190,0.267,0.27,35
Mike Parrott,right-handed,76,210,0,0,0
Lee Thomas,left-handed,74,195,0.255,0.26,106
Ray Fosse,right-handed,74,215,0.256,0.26,61
Paul Popovich,both-handed,72,175,0.233,0.24,14
John Stephenson,left-handed,71,180,0.216,0.22,12
Doug Clemens,left-handed,72,180,0.229,0.23,12
Luis Aponte,right-handed,72,185,0,0,0
Orlando Mercado,right-handed,72,180,0.199,0.2,7
Charley Smith,right-handed,73,170,0.239,0.24,69
Paul Boris,right-handed,74,200,0,0,0
Buddy Biancalana,both-handed,71,160,0.205,0.21,6
De Wayne Buice,right-handed,72,170,0,0,0
Bob Uecker,right-handed,73,190,0.2,0.2,14
Felix Torres,right-handed,71,165,0.254,0.26,27
Steve Braun,left-handed,70,180,0.271,0.28,52
Ray Knight,right-handed,73,185,0.271,0.28,84
Ty Cline,left-handed,72,170,0.238,0.24,6
Thad Bosley,left-handed,75,175,0.272,0.28,20
Bobby Grich,right-handed,74,180,0.266,0.27,224
Jimmie Hall,left-handed,72,175,0.254,0.26,121
John Boccabella,right-handed,73,195,0.219,0.22,26
Brock Davis,left-handed,70,160,0.26,0.26,1
Mark Esser,right-handed,73,190,0,0,0
Curt Blefary,left-handed,74,195,0.237,0.24,112
Daryl Smith,right-handed,76,185,0,0,0
Dave Smith,right-handed,73,190,0,0,0
Mack Jones,left-handed,73,180,0.252,0.26,133
Buddy Bradford,right-handed,71,170,0.226,0.23,52
Hosken Powell,left-handed,73,175,0.259,0.26,17
Dave Stapleton,left-handed,73,185,0,0,0
Dave Stapleton,right-handed,73,178,0.271,0.28,41
Gary Ward,right-handed,74,195,0.276,0.28,130
Jim Lonborg,right-handed,77,200,0.136,0.14,3
Joe Lis,right-handed,72,175,0.233,0.24,32
Dan Meyer,left-handed,71,180,0.253,0.26,86
Jim Holt,left-handed,72,180,0.265,0.27,19
Tom Klawitter,right-handed,74,190,0,0,0
Larry Herndon,right-handed,75,190,0.274,0.28,107
Gary Christenson,left-handed,77,200,0,0,0
Jim Wright,right-handed,77,205,0,0,0
Jim Wright,right-handed,73,165,0,0,0
Wallace Johnson,both-handed,72,173,0.255,0.26,5
Mike Kinnunen,left-handed,73,185,0,0,0
Eddie Leon,right-handed,72,170,0.236,0.24,24
Dave Rajsich,left-handed,77,175,0,0,0
Jim Wohlford,right-handed,71,175,0.26,0.26,21
J.R. Richard,right-handed,80,222,0.168,0.17,10
Bill Voss,left-handed,74,160,0.227,0.23,19
Keith Moreland,right-handed,72,190,0.279,0.28,121
Ramon Pena,right-handed,70,155,0,0,0
Alex Johnson,right-handed,72,205,0.288,0.29,78
Wayne Krenchicki,left-handed,73,180,0.266,0.27,15
Chico Escarrega,right-handed,71,185,0,0,0
Dave Rosello,right-handed,71,160,0.236,0.24,10
Cardell Camper,right-handed,75,208,0,0,0
Paul Schaal,right-handed,71,165,0.244,0.25,57
Tito Landrum,right-handed,71,175,0.249,0.25,13
Dave Edwards,right-handed,72,170,0.237,0.24,14
Mario Guerrero,right-handed,70,155,0.257,0.26,7
Tom Tresh,both-handed,73,180,0.245,0.25,153
Mike Overy,right-handed,74,190,0,0,0
Ron Roenicke,both-handed,72,180,0.238,0.24,17
Doug Griffin,right-handed,72,160,0.245,0.25,7
Steve Blass,right-handed,72,165,0.172,0.18,1
Johnnie LeMaster,right-handed,74,165,0.222,0.23,22
Craig Chamberlain,right-handed,73,190,0,0,0
Nate Oliver,right-handed,70,160,0.226,0.23,2
Ray Sadecki,left-handed,71,180,0.191,0.2,5
Ken Rudolph,right-handed,73,180,0.213,0.22,6
Wayne Nordhagen,right-handed,74,205,0.282,0.29,39
Biff Pocoroba,both-handed,70,175,0.257,0.26,21
Len Matuszek,left-handed,74,190,0.234,0.24,30
Frank Eufemia,right-handed,71,185,0,0,0
Joe Lefebvre,left-handed,70,170,0.258,0.26,31
Jim Maloney,left-handed,74,190,0.201,0.21,7
Andre Robertson,right-handed,70,155,0.251,0.26,5
Jerry Zimmerman,right-handed,74,185,0.204,0.21,3
Jack Lazorko,right-handed,71,200,0,0,0
Mike Paxton,right-handed,71,190,0,0,0
Chet Lemon,right-handed,72,190,0.273,0.28,215
Rickey Keeton,right-handed,74,190,0,0,0
Phil Mankowski,left-handed,72,180,0.264,0.27,8
Cleon Jones,right-handed,72,185,0.281,0.29,93
Joaquin Andujar,both-handed,72,170,0.127,0.13,5
Mike Lum,left-handed,72,180,0.247,0.25,90
Johnny Grubb,left-handed,75,175,0.278,0.28,99
Curt Motton,right-handed,68,164,0.213,0.22,25
Johnny Bench,right-handed,73,197,0.267,0.27,389
Dale Berra,right-handed,72,180,0.236,0.24,49
Terry Felton,right-handed,73,180,0,0,0
Bob Meacham,both-handed,73,175,0.236,0.24,8
Mark Clear,right-handed,76,200,0,0,0
Carl Warwick,right-handed,70,170,0.248,0.25,31
Sam Bowens,right-handed,73,188,0.223,0.23,45
George Wright,both-handed,71,180,0.245,0.25,42
Luis Aguayo,right-handed,69,173,0.236,0.24,37
Hal Lanier,right-handed,74,180,0.228,0.23,8
Mike Pazik,left-handed,74,195,0,0,0
Len Randle,both-handed,70,169,0.257,0.26,27
Greg Pryor,right-handed,72,180,0.25,0.25,14
Jim Traber,left-handed,72,194,0.227,0.23,27
Dave Nelson,right-handed,70,160,0.244,0.25,20
Lynn Jones,right-handed,69,175,0.252,0.26,7
Bryan Little,both-handed,70,160,0.245,0.25,3
Ken Suarez,right-handed,69,175,0.227,0.23,5
Rick Peters,both-handed,69,170,0.277,0.28,2
Ron Stone,left-handed,74,185,0.241,0.25,6
Rich Barnes,right-handed,76,186,0,0,0
Tommie Agee,right-handed,71,195,0.255,0.26,130
Bob Bailey,right-handed,73,180,0.257,0.26,189
Cap Peterson,right-handed,74,195,0.23,0.23,19
Ted Uhlaender,left-handed,74,190,0.263,0.27,36
Ted Simmons,both-handed,71,193,0.285,0.29,248
Bobby Murcer,left-handed,71,160,0.277,0.28,252
Dick Tracewski,right-handed,71,160,0.213,0.22,8
Dave Frost,right-handed,78,235,0,0,0
Mark Souza,left-handed,72,180,0,0,0
Bill Nahorodny,right-handed,74,200,0.241,0.25,25
Bill Madlock,right-handed,71,180,0.305,0.31,163
Bob Boone,right-handed,74,195,0.254,0.26,105
Rick Jones,left-handed,77,190,0,0,0
Steve Kemp,left-handed,72,195,0.278,0.28,130
Rick Burleson,right-handed,70,165,0.273,0.28,50
Jim Dorsey,right-handed,79,190,0,0,0
Mark Ciardi,right-handed,72,180,0,0,0
Dennis Burtt,right-handed,72,180,0,0,0
Carl Taylor,right-handed,74,200,0.266,0.27,10
Terry Harmon,right-handed,74,180,0.233,0.24,4
Mike Hargrove,left-handed,72,195,0.29,0.29,80
Rich Yett,right-handed,74,187,0,0,0
Steve Hovley,left-handed,70,188,0.258,0.26,8
Don Leppert,right-handed,74,220,0.229,0.23,15
Matt Williams,right-handed,73,200,0,0,0
Jim Burton,right-handed,75,195,0,0,0
Rick Anderson,right-handed,74,210,0,0,0
Charlie Mitchell,right-handed,75,170,0,0,0
Bill Paschall,right-handed,72,175,0,0,0
John Bohnet,both-handed,72,175,0,0,0
Byron McLaughlin,right-handed,73,175,0,0,0
Lee May,right-handed,75,195,0.267,0.27,354
Luis Quintana,left-handed,74,175,0,0,0
Sam McDowell,left-handed,77,190,0.154,0.16,2
Rick Renick,right-handed,72,188,0.221,0.23,20
Jeff Torborg,right-handed,72,195,0.214,0.22,8
Dave Campbell,right-handed,73,180,0.213,0.22,20
Pat Kelly,left-handed,73,185,0.264,0.27,76
Al Weis,both-handed,72,160,0.219,0.22,7
Jerry Turner,left-handed,69,180,0.257,0.26,45
Rick Auerbach,right-handed,72,165,0.22,0.22,9
Keith Macwhorter,right-handed,76,190,0,0,0
Don Wilson,right-handed,74,195,0.146,0.15,1
Jaime Cocanower,right-handed,76,200,0,0,0
Jeff Sellers,right-handed,73,175,0,0,0
Sandy Valdespino,left-handed,68,170,0.23,0.23,7
Steve Senteney,right-handed,74,205,0,0,0
Howard Bailey,right-handed,72,195,0,0,0
Jeff Bettendorf,right-handed,75,180,0,0,0
Ken Phelps,left-handed,73,209,0.239,0.24,123
Cesar Cedeno,right-handed,74,175,0.285,0.29,199
Bob Davidson,right-handed,72,185,0,0,0
Phil Linz,right-handed,73,180,0.235,0.24,11
Manny Mota,right-handed,70,160,0.304,0.31,31
Brian Snyder,left-handed,75,185,0,0,0
Steve Renko,right-handed,77,230,0.215,0.22,6
Rick Sofield,left-handed,73,195,0.243,0.25,9
Carlos Velazquez,right-handed,71,180,0,0,0
Roger Miller,right-handed,75,200,0,0,0
Doug DeCinces,right-handed,74,190,0.259,0.26,237
John Castino,right-handed,71,175,0.278,0.28,41
Dave May,left-handed,70,186,0.251,0.26,96
Ron Washington,right-handed,71,155,0.261,0.27,20
Billy Grabarkewitz,right-handed,70,165,0.236,0.24,28
Willie Aikens,left-handed,75,220,0.271,0.28,110
Earl Williams,right-handed,75,215,0.247,0.25,138
Willie Mueller,right-handed,76,220,0,0,0
John Flinn,right-handed,72,175,0,0,0
Don Hahn,right-handed,73,180,0.236,0.24,7
Todd Cruz,right-handed,72,175,0.22,0.22,34
Tom Egan,right-handed,76,218,0.2,0.2,22
Bob Heise,right-handed,72,175,0.247,0.25,1
Tommy Harper,right-handed,69,165,0.257,0.26,146
Joe Wallis,both-handed,71,180,0.244,0.25,16
Max Alvis,right-handed,71,185,0.247,0.25,111
Rico Carty,right-handed,75,200,0.299,0.3,204
Mike Cubbage,left-handed,72,180,0.258,0.26,34
Les Straker,right-handed,73,193,0,0,0
Merritt Ranew,left-handed,71,170,0.247,0.25,8
Lyman Bostock,left-handed,73,180,0.311,0.32,23
Damaso Garcia,right-handed,73,165,0.283,0.29,36
Don Kainer,right-handed,75,205,0,0,0
Don Gordon,right-handed,73,175,0,0,0
Roy Howell,left-handed,73,190,0.261,0.27,80
Boog Powell,left-handed,76,230,0.266,0.27,339
Sandy Wihtol,right-handed,73,195,0,0,0
Sonny Siebert,right-handed,75,190,0.173,0.18,12
Jeff Richardson,right-handed,75,185,0,0,0
Bobby Darwin,right-handed,74,190,0.251,0.26,83
Dennis DeBarr,left-handed,74,190,0,0,0
Dan Driessen,left-handed,71,187,0.267,0.27,153
Bruce Miller,right-handed,73,185,0.246,0.25,1
Bob Bailor,right-handed,71,170,0.264,0.27,9
Tommy Helms,right-handed,70,165,0.269,0.27,34
Tony Armas,right-handed,71,182,0.252,0.26,251
Willie Horton,right-handed,71,209,0.273,0.28,325
Lou Piniella,right-handed,72,182,0.291,0.3,102
Butch Hobson,right-handed,73,193,0.248,0.25,98
John Wathan,right-handed,74,205,0.262,0.27,21
Hal King,left-handed,73,200,0.214,0.22,24
Mike Krukow,right-handed,77,205,0.193,0.2,5
Andres Mora,right-handed,72,180,0.223,0.23,27
Barry Foote,right-handed,75,205,0.23,0.23,57
Ed Ott,left-handed,70,190,0.259,0.26,33
Alan Wiggins,both-handed,74,160,0.259,0.26,5
Ron Clark,right-handed,70,175,0.189,0.19,5
Jay Pettibone,right-handed,76,182,0,0,0
Glen Cook,right-handed,71,180,0,0,0
Julio Gotay,right-handed,72,180,0.26,0.26,6
Gary Alexander,right-handed,74,195,0.23,0.23,55
Andre Thornton,right-handed,75,200,0.254,0.26,253
Bob Oliver,right-handed,75,205,0.256,0.26,94
Bill Castro,right-handed,71,170,0,0,0
Ed Hodge,left-handed,74,192,0,0,0
Tom Buskey,right-handed,75,200,0,0,0
Bruce Taylor,right-handed,72,178,0,0,0
Stan Thomas,right-handed,74,185,0,0,0
Bob Robertson,right-handed,73,195,0.242,0.25,115
Larry Monroe,right-handed,76,200,0,0,0
Roger Slagle,right-handed,75,190,0,0,0
Ollie Brown,right-handed,74,178,0.265,0.27,102
Jim Campbell,left-handed,71,175,0,0,0
Frank Quilici,right-handed,73,170,0.214,0.22,5
Curt Kaufman,right-handed,74,175,0,0,0
Joe Pepitone,left-handed,74,185,0.258,0.26,219
Steve Barber,left-handed,72,195,0.115,0.12,5
De Wayne Vaughn,right-handed,71,180,0,0,0
Norm Miller,left-handed,70,185,0.238,0.24,24
Bob Galasso,left-handed,73,205,0,0,0
Rich Wortham,right-handed,72,185,0,0,0
Bob Chance,left-handed,74,196,0.261,0.27,24
Julio Cruz,both-handed,69,165,0.237,0.24,23
Bill Sample,right-handed,69,175,0.272,0.28,46
Juan Nieves,left-handed,75,175,0,0,0
Mike Bacsik,right-handed,74,180,0,0,0
Craig Kusick,right-handed,75,210,0.235,0.24,46
Rudy Meoli,left-handed,69,165,0.212,0.22,2
Ruppert Jones,left-handed,70,170,0.25,0.25,147
Glenn Hoffman,right-handed,73,175,0.242,0.25,23
Russ Gibson,right-handed,73,195,0.228,0.23,8
Phil Huffman,right-handed,74,180,0,0,0
Terry Francona,left-handed,73,190,0.274,0.28,16
John Bateman,right-handed,75,210,0.23,0.23,81
Luis Pujols,right-handed,74,175,0.193,0.2,6
Joe Gaines,right-handed,73,190,0.241,0.25,21
Doug Rader,right-handed,74,208,0.251,0.26,155
Mickey Stanley,right-handed,73,185,0.248,0.25,117
Steve Brown,right-handed,77,200,0,0,0
Rick Lysander,right-handed,74,190,0,0,0
Phil Bradley,right-handed,72,185,0.286,0.29,78
Winston Llenas,right-handed,70,165,0.23,0.23,3
Charlie Moore,right-handed,71,180,0.261,0.27,36
Ralph Garr,left-handed,71,185,0.306,0.31,75
Tommy John,right-handed,75,180,0.157,0.16,5
Bruce Benedict,right-handed,73,175,0.242,0.25,18
John Ellis,right-handed,74,225,0.262,0.27,69
Wes Parker,both-handed,73,180,0.267,0.27,64
Mel Stottlemyre,right-handed,72,190,0,0,0
David Green,right-handed,75,170,0.268,0.27,31
Reid Nichols,right-handed,71,165,0.266,0.27,22
Rick Reichardt,right-handed,75,210,0.261,0.27,116
Luis Tiant,right-handed,72,180,0.164,0.17,5
Alex Sanchez,right-handed,74,185,0,0,0
Broderick Perkins,left-handed,70,180,0.271,0.28,8
Leon Roberts,right-handed,75,200,0.267,0.27,78
Ray Burris,right-handed,77,200,0.151,0.16,1
Len Gabrielson,left-handed,76,210,0.253,0.26,37
Johnny Edwards,left-handed,76,220,0.242,0.25,81
Paul Wilmet,right-handed,71,170,0,0,0
Tom Grieve,right-handed,74,190,0.249,0.25,65
Bruce Ellingsen,left-handed,72,180,0,0,0
Bob Forsch,right-handed,76,200,0.213,0.22,12
Gorman Heimueller,left-handed,76,195,0,0,0
Danny Cater,right-handed,72,170,0.276,0.28,66
Bill Schroeder,right-handed,74,200,0.24,0.24,61
Clay Dalrymple,left-handed,72,190,0.233,0.24,55
Carlos May,left-handed,71,200,0.274,0.28,90
Reggie Smith,both-handed,72,180,0.287,0.29,314
Ron Reed,right-handed,78,215,0.158,0.16,0
Fred Howard,right-handed,75,190,0,0,0
Davey Johnson,right-handed,73,170,0.261,0.27,136
Ellis Valentine,right-handed,76,205,0.278,0.28,123
Roy White,both-handed,70,160,0.271,0.28,160
Mike Brumley,left-handed,70,195,0.229,0.23,5
Al Luplow,left-handed,70,175,0.235,0.24,33
John Hoover,right-handed,74,190,0,0,0
Dick Allen,right-handed,71,187,0.292,0.3,351
Doug Ault,right-handed,75,200,0.236,0.24,17
Mark Wagner,right-handed,72,165,0.243,0.25,3
Mike Walters,right-handed,77,203,0,0,0
Willie Stargell,left-handed,74,188,0.282,0.29,475
Steve Carlton,left-handed,76,210,0.201,0.21,13
Jake Wood,right-handed,73,163,0.25,0.25,35
Del Unser,left-handed,73,180,0.258,0.26,87
Bob Brower,right-handed,71,185,0.242,0.25,17
Ray Culp,right-handed,72,200,0.123,0.13,1
Ivan Murrell,right-handed,74,195,0.236,0.24,33
Lee Mazzilli,both-handed,73,180,0.259,0.26,93
Garth Iorg,right-handed,71,170,0.258,0.26,20
Alan Ashby,both-handed,74,185,0.245,0.25,90
Bob Brenly,right-handed,74,210,0.247,0.25,91
Ron Blomberg,left-handed,73,195,0.293,0.3,52
Jim Rooker,right-handed,72,195,0.201,0.21,7
Tim Blackwell,both-handed,71,170,0.228,0.23,6
Colby Ward,right-handed,74,185,0,0,0
Jerry Morales,right-handed,70,155,0.259,0.26,95
Davey Lopes,right-handed,69,170,0.263,0.27,155
Catfish Hunter,right-handed,72,190,0.226,0.23,6
Mario Soto,right-handed,72,174,0.132,0.14,1
Jimmy Wynn,right-handed,70,160,0.25,0.25,291
Hank Allen,right-handed,72,190,0.241,0.25,6
Jim Fregosi,right-handed,73,190,0.265,0.27,151
Pepe Frias,right-handed,70,159,0.24,0.24,1
Mike Schmidt,right-handed,74,195,0.267,0.27,548
Willie Montanez,left-handed,72,170,0.275,0.28,139
Rey Quinones,right-handed,71,160,0.243,0.25,29
Mike Squires,left-handed,71,185,0.26,0.26,6
Champ Summers,left-handed,74,205,0.255,0.26,54
Chuck Porter,right-handed,75,187,0,0,0
Bert Campaneris,right-handed,70,160,0.259,0.26,79
Bobby Valentine,right-handed,70,189,0.26,0.26,12
Rob Andrews,right-handed,72,185,0.251,0.26,3
Tom Haller,left-handed,76,195,0.257,0.26,134
Tom Dozier,right-handed,74,190,0,0,0
Ed Stroud,left-handed,71,180,0.237,0.24,14
Ron Swoboda,right-handed,74,195,0.242,0.25,73
Harry Spilman,left-handed,73,180,0.237,0.24,18
Bob Barton,right-handed,72,175,0.226,0.23,9
Daryl Sconiers,left-handed,74,185,0.265,0.27,15
Joe Torre,right-handed,74,212,0.297,0.3,252
Al Ferrara,right-handed,73,200,0.259,0.26,51
Rick Steirer,right-handed,76,200,0,0,0
Sixto Lezcano,right-handed,70,165,0.271,0.28,148
Al Lachowicz,right-handed,75,198,0,0,0
Dave Nicholson,right-handed,74,215,0.212,0.22,61
Freddie Patek,right-handed,65,148,0.242,0.25,41
Ken Hubbs,right-handed,74,175,0.247,0.25,14
Pepe Mangual,right-handed,70,157,0.242,0.25,16
Leron Lee,left-handed,72,196,0.25,0.25,31
Tom McCarthy,right-handed,72,180,0,0,0
Steve Ontiveros,both-handed,72,185,0.274,0.28,24
Willie Davis,left-handed,74,180,0.279,0.28,182
Tom Lawless,right-handed,71,170,0.207,0.21,2
Jerry Moses,right-handed,75,210,0.251,0.26,25
Bobby Bonds,right-handed,73,190,0.268,0.27,332
Dave McNally,right-handed,71,185,0.133,0.14,9
Darrell Brown,both-handed,72,184,0.274,0.28,1
Roy Foster,right-handed,72,185,0.253,0.26,45
Denis Menke,right-handed,72,185,0.25,0.25,101
Hal Breeden,right-handed,74,200,0.243,0.25,21
Manny Trillo,right-handed,73,150,0.263,0.27,61
Jackie Gutierrez,right-handed,71,175,0.237,0.24,4
Jerry Kenney,left-handed,73,170,0.237,0.24,7
Fred Kendall,right-handed,73,185,0.234,0.24,31
Mike Anderson,right-handed,74,200,0.246,0.25,28
Jim Lewis,right-handed,75,190,0,0,0
Joe Charboneau,right-handed,74,205,0.266,0.27,29
Jimmie Schaffer,right-handed,69,170,0.223,0.23,11
Junior Kennedy,right-handed,71,175,0.248,0.25,4
Wilbur Howard,both-handed,74,170,0.25,0.25,6
Rod Gilbreath,right-handed,74,180,0.248,0.25,14
Mark Brouhard,right-handed,73,210,0.259,0.26,25
Dan Morogiello,left-handed,73,200,0,0,0
Mike Young,both-handed,74,195,0.247,0.25,72
Chris Speier,right-handed,73,175,0.246,0.25,112
Gene Michael,both-handed,74,183,0.229,0.23,15
Vic Harris,both-handed,71,165,0.217,0.22,13
Mike Fischlin,right-handed,73,165,0.22,0.22,3
Don Money,right-handed,73,170,0.261,0.27,176
Joe Rudi,right-handed,74,200,0.264,0.27,179
Jim Rice,right-handed,74,200,0.298,0.3,382
Shawn Holman,right-handed,74,185,0,0,0
Alan Wirth,right-handed,76,190,0,0,0
Gil Garrido,right-handed,69,150,0.237,0.24,1
Marty Perez,right-handed,71,160,0.246,0.25,22
Tom Matchick,left-handed,73,173,0.215,0.22,4
Jack Perconte,left-handed,70,160,0.27,0.27,2
Ed Kirkpatrick,left-handed,71,195,0.238,0.24,85
Jerry Grote,right-handed,70,185,0.252,0.26,39
Ellie Hendricks,left-handed,73,175,0.22,0.22,62
Jim Beauchamp,right-handed,74,190,0.231,0.24,14
Terry Wilshusen,right-handed,74,210,0,0,0
Tito Fuentes,both-handed,71,175,0.268,0.27,45
